Chapter #0:0: start 0.000000, end 27.027000
Chapter #0:1: start 27.027000, end 330.830489
Chapter #0:2: start 330.830489, end 581.581000
Chapter #0:3: start 581.581000, end 960.000689
Chapter #0:4: start 960.000689, end 1217.216000
Chapter #0:5: start 1217.216000, end 1474.473000
Chapter #0:6: start 1474.473000, end 1712.585867
Chapter #0:7: start 1712.585867, end 2337.710356
Chapter #0:8: start 2337.710356, end 2680.552867
Chapter #0:9: start 2680.552867, end 3158.822333
Chapter #0:10: start 3158.822333, end 3448.987200
Chapter #0:11: start 3448.987200, end 3914.911000
Chapter #0:12: start 3914.911000, end 4547.376156
Chapter #0:13: start 4547.376156, end 4835.831000
Chapter #0:14: start 4835.831000, end 5177.297111
Chapter #0:15: start 5177.297111, end 5712.707000
Chapter #0:16: start 5712.707000, end 5947.942000
Chapter #0:17: start 5947.942000, end 6198.692489
Chapter #0:18: start 6198.692489, end 6396.264867
Chapter #0:19: start 6396.264867, end 6652.646000
Chapter #0:20: start 6652.646000, end 6900.727156
Chapter #0:21: start 6900.727156, end 7139.841022
Chapter #0:22: start 7139.841022, end 7250.243000
Chapter #0:23: start 7250.243000, end 7516.967778
Chapter #0:24: start 7516.967778, end 8140.132000
Chapter #0:25: start 8140.132000, end 8380.372000
Chapter #0:26: start 8380.372000, end 9332.281289
Chapter #0:27: start 9332.281289, end 9738.395333
Chapter #0:28: start 9738.395333, end 9942.933000
Chapter #0:29: start 9942.933000, end 10130.620489
Chapter #0:30: start 10130.620489, end 10696.686000
Chapter #0:31: start 10696.686000, end 10975.464489
Chapter #0:32: start 10975.464489, end 11874.529333
Chapter #0:33: start 11874.529333, end 12103.091000
Chapter #0:34: start 12103.091000, end 12380.284578
Chapter #0:35: start 12380.284578, end 13123.860733
